rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表1-3-R013,初中教室1年级代码缺失或异常,ROW_CHECK,"MG011",1,"初中教室1年级代码缺失或异常",67,"recode(mg011 -> 初中教室1年级代码缺失或异常); 初中教室1年级代码缺失或异常 = missing(初中教室1年级代码缺失或异常) || 初中教室1年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R014,初中教室2年级代码缺失或异常,ROW_CHECK,"MG012",1,"初中教室2年级代码缺失或异常",67,"recode(mg012 -> 初中教室2年级代码缺失或异常); 初中教室2年级代码缺失或异常 = missing(初中教室2年级代码缺失或异常) || 初中教室2年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R015,初中教室3年级代码缺失或异常,ROW_CHECK,"MG013",1,"初中教室3年级代码缺失或异常",67,"recode(mg013 -> 初中教室3年级代码缺失或异常); 初中教室3年级代码缺失或异常 = missing(初中教室3年级代码缺失或异常) || 初中教室3年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R016,初中教室4年级代码缺失或异常,ROW_CHECK,"MG014",1,"初中教室4年级代码缺失或异常",67,"recode(mg014 -> 初中教室4年级代码缺失或异常); 初中教室4年级代码缺失或异常 = missing(初中教室4年级代码缺失或异常) || 初中教室4年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R017,初中教室5年级代码缺失或异常,ROW_CHECK,"MG015",1,"初中教室5年级代码缺失或异常",67,"recode(mg015 -> 初中教室5年级代码缺失或异常); 初中教室5年级代码缺失或异常 = missing(初中教室5年级代码缺失或异常) || 初中教室5年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R018,初中教室6年级代码缺失或异常,ROW_CHECK,"MG016",1,"初中教室6年级代码缺失或异常",76,"recode(mg016 -> 初中教室6年级代码缺失或异常); 初中教室6年级代码缺失或异常 = missing(初中教室6年级代码缺失或异常) || 初中教室6年级代码缺失或异常 != 0 ? 1 : 0"
表1-3-R019,小学教室1班级代码缺失,ROW_CHECK,"PG021",1,"小学教室1班级代码缺失",50,"recode(pg021 -> 小学教室1班级代码缺失); 小学教室1班级代码缺失 = missing(小学教室1班级代码缺失) || 小学教室1班级代码缺失 != 0 ? 1 : 0"
表1-3-R020,小学教室2班级代码缺失,ROW_CHECK,"PG022",1,"小学教室2班级代码缺失",50,"recode(pg022 -> 小学教室2班级代码缺失); 小学教室2班级代码缺失 = missing(小学教室2班级代码缺失) || 小学教室2班级代码缺失 != 0 ? 1 : 0"
表1-3-R021,小学教室3班级代码缺失,ROW_CHECK,"PG023",1,"小学教室3班级代码缺失",50,"recode(pg023 -> 小学教室3班级代码缺失); 小学教室3班级代码缺失 = missing(小学教室3班级代码缺失) || 小学教室3班级代码缺失 != 0 ? 1 : 0"
表1-3-R022,小学教室4班级代码缺失,ROW_CHECK,"PG024",1,"小学教室4班级代码缺失",50,"recode(pg024 -> 小学教室4班级代码缺失); 小学教室4班级代码缺失 = missing(小学教室4班级代码缺失) || 小学教室4班级代码缺失 != 0 ? 1 : 0"
表1-3-R023,小学教室5班级代码缺失,ROW_CHECK,"PG025",1,"小学教室5班级代码缺失",50,"recode(pg025 -> 小学教室5班级代码缺失); 小学教室5班级代码缺失 = missing(小学教室5班级代码缺失) || 小学教室5班级代码缺失 != 0 ? 1 : 0"
表1-3-R024,小学教室6班级代码缺失,ROW_CHECK,"PG026",1,"小学教室6班级代码缺失",81,"recode(pg026 -> 小学教室6班级代码缺失); 小学教室6班级代码缺失 = missing(小学教室6班级代码缺失) || 小学教室6班级代码缺失 != 0 ? 1 : 0"
表1-3-R025,初中教室1班级代码缺失,ROW_CHECK,"MG021",1,"初中教室1班级代码缺失",50,"recode(mg021 -> 初中教室1班级代码缺失); 初中教室1班级代码缺失 = missing(初中教室1班级代码缺失) || 初中教室1班级代码缺失 != 0 ? 1 : 0"
表1-3-R026,初中教室2班级代码缺失,ROW_CHECK,"MG022",1,"初中教室2班级代码缺失",50,"recode(mg022 -> 初中教室2班级代码缺失); 初中教室2班级代码缺失 = missing(初中教室2班级代码缺失) || 初中教室2班级代码缺失 != 0 ? 1 : 0"
表1-3-R027,初中教室3班级代码缺失,ROW_CHECK,"MG023",1,"初中教室3班级代码缺失",50,"recode(mg023 -> 初中教室3班级代码缺失); 初中教室3班级代码缺失 = missing(初中教室3班级代码缺失) || 初中教室3班级代码缺失 != 0 ? 1 : 0"
表1-3-R028,初中教室4班级代码缺失,ROW_CHECK,"MG024",1,"初中教室4班级代码缺失",50,"recode(mg024 -> 初中教室4班级代码缺失); 初中教室4班级代码缺失 = missing(初中教室4班级代码缺失) || 初中教室4班级代码缺失 != 0 ? 1 : 0"
表1-3-R029,初中教室5班级代码缺失,ROW_CHECK,"MG025",1,"初中教室5班级代码缺失",50,"recode(mg025 -> 初中教室5班级代码缺失); 初中教室5班级代码缺失 = missing(初中教室5班级代码缺失) || 初中教室5班级代码缺失 != 0 ? 1 : 0"
表1-3-R030,初中教室6班级代码缺失,ROW_CHECK,"MG026",1,"初中教室6班级代码缺失",59,"recode(mg026 -> 初中教室6班级代码缺失); 初中教室6班级代码缺失 = missing(初中教室6班级代码缺失) || 初中教室6班级代码缺失 != 0 ? 1 : 0"
