rule_code,step_no,step_type,source,target,condition,expression
表2-2-R019,24,CONDITIONAL,,,"",""
表2-2-R019,25,CONDITIONAL,,,"",""
表2-2-R019,26,CONDITIONAL,,,"",""
表2-2-R019,27,CONDITIONAL,,,"",""
表2-2-R019,28,CONDITIONAL,,,"",""
表2-2-R019,29,CONDITIONAL,,,"",""
表2-2-R019,30,CONDITIONAL,,,"",""
表2-2-R019,31,CONDITIONAL,,,"",""
表2-2-R019,32,CONDITIONAL,,,"",""
表2-2-R019,33,CONDITIONAL,,,"",""
表2-2-R019,34,CONDITIONAL,,,"",""
表2-2-R019,35,CONDITIONAL,,,"",""
表2-2-R019,36,CONDITIONAL,,,"",""
表2-2-R019,37,CONDITIONAL,,,"",""
表2-2-R019,38,CONDITIONAL,,,"",""
表2-2-R019,39,CONDITIONAL,,,"",""
表2-2-R020,1,RECODE,Q7,,"",""
表2-2-R020,2,CONDITIONAL,,,"",""
表2-2-R020,3,CONDITIONAL,,,"",""
表2-2-R020,4,CONDITIONAL,,,"",""
表2-2-R020,5,CONDITIONAL,,,"",""
表2-2-R020,6,CONDITIONAL,,,"",""
表2-2-R020,7,CONDITIONAL,,,"",""
表2-2-R020,8,CONDITIONAL,,,"",""
表2-2-R020,9,CONDITIONAL,,,"",""
表2-2-R020,10,CONDITIONAL,,,"",""
表2-2-R020,11,CONDITIONAL,,,"",""
表2-2-R020,12,CONDITIONAL,,,"",""
表2-2-R020,13,CONDITIONAL,,,"",""
表2-2-R020,14,CONDITIONAL,,,"",""
表2-2-R020,15,CONDITIONAL,,,"",""
表2-2-R020,16,CONDITIONAL,,,"",""
表2-2-R020,17,CONDITIONAL,,,"",""
表2-2-R020,18,CONDITIONAL,,,"",""
表2-2-R020,19,CONDITIONAL,,,"",""
表2-2-R020,20,CONDITIONAL,,,"",""
表2-2-R020,21,CONDITIONAL,,,"",""
表2-2-R020,22,CONDITIONAL,,,"",""
表2-2-R020,23,CONDITIONAL,,,"",""
表2-2-R020,24,CONDITIONAL,,,"",""
表2-2-R020,25,CONDITIONAL,,,"",""
表2-2-R020,26,CONDITIONAL,,,"",""
表2-2-R020,27,CONDITIONAL,,,"",""
表2-2-R020,28,CONDITIONAL,,,"",""
表2-2-R020,29,CONDITIONAL,,,"",""
表2-2-R020,30,CONDITIONAL,,,"",""
表2-2-R020,31,CONDITIONAL,,,"",""
表2-2-R020,32,CONDITIONAL,,,"",""
表2-2-R020,33,CONDITIONAL,,,"",""
表2-2-R020,34,CONDITIONAL,,,"",""
表2-2-R020,35,CONDITIONAL,,,"",""
表2-2-R020,36,CONDITIONAL,,,"",""
表2-2-R020,37,CONDITIONAL,,,"",""
表2-2-R020,38,CONDITIONAL,,,"",""
表2-2-R020,39,CONDITIONAL,,,"",""
表2-2-R021,1,RECODE,BMI,,"",""
表2-2-R022,1,RECODE,Q09,,"",""
表2-2-R023,1,RECODE,Q81,,"",""
表2-2-R024,1,RECODE,Q82,,"",""
表2-2-R025,1,RECODE,BPC,,"",""
表2-2-R025,2,IFASSIGN,,,"",""
表2-2-R025,3,RECODE,压差可疑,,"",""
表2-2-R026,1,RECODE,恒龋失补,,"",""
表2-2-R026,2,RECODE,Q54,,"",""
表2-2-R026,3,RECODE,Q55,,"",""
表2-2-R026,4,RECODE,Q56,,"",""
表2-2-R026,5,IFASSIGN,,,"",""
